EventId,EventTemplate,Occurrences
0,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*> t<*>}}}, allDrawn= false, startingDisplayed = false, startingMoved = false, isRelaunching = false",1
1,"acquire lock=<*>, flags=0x1, tag=""View Lock"", name=<*>, ws=null, uid=<*>, pid=<*>",1
2,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>userId=<*>",199
3,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*> t<*>}}} -- going to hide,4
4,visible is <*>,5
5,mVisiblity.getValue is <*>,5
6,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=null, uid=<*>, pid=<*>",17
7,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",65
8,updateDimmedActivatedHideSensitive overlap:<*>,65
9,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,81
10,"release:lock=<*>, flg=0x<*>, tag=""<*>"", name=<*>, ws=WorkSource{<*>}, uid=<*>, pid=<*>",9
11,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*> fullscreenStackBounds=Rect(<*>), dockedStackBounds=Rect(<*>)",200
12,cancelAutohide,15
13,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",19
14,Destroying surface Surface(name=<*>) called by <*>,25
15,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=0x<*>, uid=<*>",69
16,"orientation change is complete, call stopFreezingDisplayLocked",1
17,Screen frozen for +<*> due to Window{<*> u0 <*>},1
18,startAnimation begin,1
19,startAnimation end,1
20,remove(PendingIntent{<*>: PendingIntentRecord{<*> <*> broadcastIntent}}) changed bounds; rebatching,2
21,"rotationForOrientationLw(orient=<*>, last=<*>); user=<*> USER_ROTATION_LOCKED",3
22,"Application requested orientation <*>, got rotation <*> which has compatible metrics",3
23,"acquire lock=<*>, flags=0x1, tag=""RILJ_ACK_WL"", name=<*>, ws=null, uid=<*>, pid=<*>",10
24,shouldBlockLocation running ...,37
25,shouldBlockLocation ret:<*>,37
26,getNeighboringCellInfo calling app is <*>,5
27,"Releasing suspend blocker ""<*>"".",33
28,HBM brightnessIn =<*>,85
29,HBM brightnessOut =<*>,85
30,"Animating brightness: target=<*>, rate=<*>",85
31,suspendAutohide,23
32,interceptKeyTq keycode=<*> interactive=<*> keyguardActive=<*> policyFlags=<*> down <*> canceled <*>,14
33,"interceptKeyBeforeQueueing: key <*> , result : <*>",14
34,resumeSuspendedAutohide,10
35,querySoundEffectsEnabled...,17
36,"acquire lock=<*>, flags=0x<*>, tag=""<*>"", name=android, ws=<*>, uid=<*>, pid=<*>",10
37,"Acquiring suspend blocker ""<*>"".",33
38,Bad activity token: android.os.BinderProxy@<*>,1
39,java.lang.ClassCastException: <*> cannot be cast to <*>,1
40,"onTouchEvent::<*>, x=<*>, y=<*>",2
41,schedulePeek,1
42,getRingtonePlayer...,2
43,disable: < expand <*> home recent clock navigationbar search <*> >,6
44,"updateLightsLocked,mInCall =<*>,mScreenOn = <*>,ledNotification == null?<*>",6
45,"updateLightsLocked,turn off notificationLight",6
46,"overlapAmount:<*>, previousNotificationEnd:<*>, newYTranslation:<*>, location:<*>, i:<*>, getTopPadding:<*>, getLocationOnScreen():<*>",13
47,"state.clipTopAmount:<*>, i:<*>",13
48,onExpandingStarted,2
49,onTrackingStarted,1
50,cancelPeek: false,20
51,"flingToHeight: vel=<*>, expand=<*>, target=<*>, collapseSpeedUpFactor=<*>, expandBecauseOfFalsing=<*>",2
52,onTrackingStopped: <*>,1
53,onExpandingFinished,2
54,Sending non-protected broadcast <*> from system <*>:com.android.systemui<*> pkg com.android.systemui,2
55,logNotificationVisibilityChanges runInThread start,6
56,onNotificationVisibilityChanged called,6
57,logNotificationVisibilityChanges runInThread over,6
58,isSimPinSecure mSimDatas is null or empty,1
59,registerCallback not in UI.,3
60,android.util.AndroidRuntimeException: Must execute in UI,3
61,*** register callback for <*>,1
62,*** unregister callback for <*>,2
63,[PhoneIntfMgr] getDataEnabled: subId=<*> phoneId=<*>,1
64,[PhoneIntfMgr] getDataEnabled: subId=<*> retVal=<*>,1
