EventId,EventTemplate,Occurrences
0,instruction cache parity error corrected,42
1,<*> double-hummer alignment exceptions,109
2,"CE sym <*>, at 0x<*>, mask 0x<*>",92
3,ciod: failed to read message prefix on control stream (CioStream socket to <*>,3
4,generating <*>,721
5,force load/store alignment...............<*>,2
6,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>,1
7,ciod: LOGIN chdir(<*>) failed: No such file or directory,18
8,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>",18
9,data TLB error interrupt,60
10,ciod: Message code <*> is not <*> or <*>,1
11,data storage interrupt,30
12,instruction address: 0x<*>,21
13,data address: <*>,8
14,machine check: i-fetch......................<*>,5
15,program interrupt: illegal instruction......<*>,8
16,exception syndrome register: 0x<*>,6
17,data store interrupt caused by <*>,10
18,program interrupt: privileged instruction...<*>,5
19,program interrupt: trap instruction.........<*>,1
20,program interrupt: imprecise exception......<*>,5
21,store operation.............................<*>,2
22,machine state register: 0x<*>,4
23,"problem state (<*>=sup,<*>=usr).......<*>",3
24,floating point instr. enabled.....<*>,4
25,auxiliary processor.........................<*>,5
26,machine check enable..............<*>,2
27,floating pt ex mode <*> enable......<*>,5
28,program interrupt: unimplemented operation..<*>,2
29,debug interrupt enable............<*>,1
30,byte ordering exception.....................<*>,2
31,data address space................<*>,5
32,core configuration register: <*>,7
33,program interrupt: fp cr update.............<*>,1
34,guaranteed instruction cache block touch.<*>,2
35,program interrupt: fp cr field .............<*>,4
36,guaranteed data cache block touch........<*>,1
37,icache prefetch depth....................<*>,1
38,icache prefetch threshold................<*>,2
39,wait state enable.................<*>,1
40,critical input interrupt enable...<*>,1
41,special purpose registers:,1
42,lr:<*> cr:<*> xer:<*> ctr:<*>,1
43,rts internal error,1
44,debug wait enable.................<*>,2
45,instruction address space.........<*>,1
46,disable store gathering..................<*>,3
47,total of <*> ddr error(s) detected and corrected,13
48,"ciod: Error loading <*> invalid or missing program image, No such file or directory",21
49,ciod: Error creating node map from file <*>: No child processes,1
50,program interrupt,3
51,<*> <*>is not fully functional,7
52,ciod: Error creating node map from file <*>: Bad file descriptor,1
53,Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=M <*> <*> <*> PDT 2005,5
54,Can not get assembly information for node card,6
55,ciod: Missing or invalid fields on line <*> of node map file <*>,2
56,<*> torus receiver z+ input pipe error(s) (dcr 0x<*>) detected and corrected,2
57,ciod: duplicate canonical-rank <*> to logical-rank <*> mapping at line <*> of node map file <*>,1
58,ciod: Error creating node map from file <*>: Block device required,1
59,rts panic! - stopping execution,2
60,ciod: Error creating node map from file <*> Permission denied,1
61,ciod: Z coordinate <*> exceeds physical dimension <*> at line <*> of node map file <*>,1
62,"rts: kernel terminated for reason <*>rts: bad message header: invalid cpu, type=<*>, cpu=<*>, index=<*>, total=<*>",1
63,<*> floating point alignment exceptions,121
64,New ido chip inserted into the database: <*> ip=<*> v=<*> t=<*>,3
65,Node card status: ALERT <*> is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is <*>. Temperature Mask is <*>. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The <*> volt rail is OK. The <*> volt rail is OK.,1
66,Node card VPD check: <*> node in processor card slot <*> do not match. VPD ecid <*> found <*>,9
67,idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=<*> Source line=<*> Function=<*>,35
68,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is <*>. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The <*> volt rail is OK. The <*> volt rail is OK.,5
69,"PrepareForService shutting down NodeCard(mLctn(<*>), mCardSernum(<*>), mLp(<*>), mIp(<*>), mType(<*>)) as part of Service Action <*>",1
70,rts tree/torus link training failed: wanted: <*> got: <*>,1
71,<*> tree receiver <*> in re-synch state event(s) (dcr 0x<*>) detected,3
72,"ciod: Error loading <*> invalid or missing program image, Exec format error",17
73,ciod: Error reading message prefix <*>on CioStream socket to <*> Link has been severed,17
74,rts: kernel terminated for reason <*>,6
75,ciod: generated <*> core files for program <*>,30
76,iar <*> dear <*>,208
77,"NFS Mount failed on <*>, slept <*> seconds, retrying (<*>)",2
78,Lustre mount FAILED : <*> : point <*>,9
79,<*> torus receiver x+ input pipe error(s) (dcr 0x<*>) detected and corrected,1
80,ciod: pollControlDescriptors: Detected the debugger died.,3
81,"ciod: In packet from node <*> (R62-M1-Nf-C:J03-U11), message code <*> is not <*> or <*> (softheader=003b005b <*>)",1
82,<*> torus receiver y+ input pipe error(s) (dcr 0x<*>) detected and corrected,1
83,suppressing further interrupts of same type,2
84,rts: bad message header: expecting type <*> instead of type <*> (softheader=00131db8 81aa0003 <*>) PSR0=00001f01 PSR1=<*> PRXF=<*> PIXF=<*>,1
85,critical input interrupt (unit=<*> bit=<*>): warning for torus y+ wire,1
86,"ciod: Error loading <*> invalid or missing program image, Permission denied",19
87,data cache search parity error detected. attempting to correct,6
88,shutdown complete,1
89,critical input interrupt (unit=<*> bit=<*>): warning for torus z- wire,1
90,"Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*> <*> <*>) PSR0=00001f01 PSR1=<*> PRXF=<*> PIXF=<*>",2
91,"Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*> <*> <*> <*> <*> <*> <*> <*> <*>",3
92,<*> L3 EDRAM error(s) (dcr 0x<*>) detected and corrected,1
93,"critical input interrupt (unit=<*> bit=<*>): warning for torus z+ wire, suppressing further interrupts of same type",2
94,<*> torus sender <*> retransmission error(s) (dcr 0x<*>) detected and corrected over <*> seconds,2
95,"ciod: Received signal <*>, code=<*>, errno=<*>, address=<*>",16
96,Lustre mount FAILED : <*> : block_id : <*>,2
97,MACHINE CHECK DCR read timeout (mc=<*> iar 0x<*> lr 0x<*>),7
98,"ciod: Error reading message prefix on CioStream socket to <*>, Connection timed out",2
99,"ciod: Error reading message prefix on CioStream socket to <*>, Connection reset by peer",4
100,dbcr0=0x<*> dbsr=0x<*> ccr0=0x<*>,1
101,r24=0x<*> r25=0x<*> r26=0x<*> r27=0x<*>,1
102,<*> tree receiver <*> in re-synch state event(s) (dcr 0x<*>) detected over <*> seconds,2
103,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.,51
104,"<*> total interrupts. <*> critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt.",71
105,"<*> ddr error(s) detected and corrected on rank <*>, symbol <*> over <*> seconds",7
106,"PrepareForService shutting down Node card(mLctn(<*>), mCardSernum(<*>), mLp(<*>), mIp(<*>), mType(<*>)) as part of Service Action <*>",1
107,"Kernel detected <*> integer alignment exceptions (<*>) iar 0x<*>, dear 0x<*> (<*>) iar 0x<*>, dear 0x<*> (<*>) iar 0x<*>, dear 0x<*> (<*>) iar 0x<*>, dear 0x<*> (<*>) iar 0x<*>, dear 0x<*> (<*>) iar 0x<*>, dear 0x<*> (<*>) iar 0x<*>, dear 0x<*> (<*>) iar 0x<*>, dear 0x<*>",9
108,total of <*> ddr error(s) detected and corrected over <*> seconds,4
109,minus normalized number..................<*>,1
110,fraction rounded.........................<*>,1
111,"critical input interrupt (unit=<*> bit=<*>): warning for tree <*> wire, suppressing further interrupts of same type",1
112,size of scratchpad portion of L3.........<*> (<*>M),1
113,ciod: LOGIN chdir(<*>) failed: Input/output error,1
114,<*> L3 EDRAM error(s) (dcr 0x<*>) detected and corrected over <*> seconds,1
115,"ciod: Error loading <*>: program image too big, <*> > <*>",1
116,fpr29=<*>,1
117,Machine State Register: 0x<*>,1
