EventId,EventTemplate,Occurrences
0,Component State Change: Component \042<*>\042 is in the unavailable state (HWID=<*>),12
1,clusterAddMember (command <*>),2
2,risBoot (command <*>),1
3,bootGenvmunix (command <*>),2
4,boot (command <*>),67
5,wait (command <*>),66
6,halt (command <*>),3
7,Command has completed successfully,10
8,Targeting domains:<*> and nodes:<*> <*>,8
9,Targeting domains:node-D[<*>\ <*>] and nodes:node-[<*>\ <*>],1
10,psu failure\ ambient=<*>,5
11,Temperature (<*>C) exceeds warning threshold,2
12,ClusterFileSystem: There is no server for ServerFileSystem domain <*>,32
13,NIFF: node <*> detected a failed network connection on network <*> via interface <*>,2
14,ServerFileSystem: An ServerFileSystem domain panic has occurred on <*>,1
15,Fan speeds ( <*> ),90
16,Command has been aborted,1
17,power/control problem,1
18,Link error <*>,17
19,Link in reset,9
20,Link ok,13
21,ServerFileSystem: ServerFileSystem domain root<*> is full,12
22,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node <*>,36
23,running,162
24,blocked,15
25,not responding,60
26,configured out,91
27,active,5
28,not-responding,1
29,inconsistent nodesets <*> <*> <ok> <*> <*> <ok> <*> <*> <ok> <*> <*> <ok> <*> <*> <ok> <*> <*> <ok> <*> <*> <ok> <*> <*> <ok> <*> <*> <ok> <*> <*> <ok> <*> <*> <ok> node-<*> <*> <*><ok> node-<*> <*> <*><ok>,1
30,starting,1
31,closing,1
32,inconsistent nodesets <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,3
33,normal,206
34,warning,205
35,ambient=<*>,292
36,critical,20
37,Linkerror event interval expired,394
38,risBoot (command <*>) Error: Timed out while waiting for SRM prompt: <*>,1
39,boot (command <*>) Error: HALT asserted\ cannot continue,1
40,Failed subcommands <*>,1
41,link errors remain current,56
42,NIFF: node <*> has detected an available network connection on network <*> via interface <*>,91
