EventId,EventTemplate,Occurrences
0,onStandStepChanged <*>,260
1,onExtend:<*> <*> <*> <*>,273
2,onReceive action: <*>,34
3,processHandleBroadcastAction action:<*>,161
4,flush sensor data,17
5,getTodayTotalDetailSteps = <*>,242
6,setTodayTotalDetailSteps=<*>,241
7,calculateCaloriesWithCache totalCalories=<*>,241
8,calculateAltitudeWithCache totalAltitude=<*>,241
9,REPORT : <*> <*> <*> <*>,136
10,isScreenOn <*>,1
11,"screen status unknown,think screen on",1
12,flushTempCacheToDB by stand,1
13,Alarm uploadStaticsToDB totalSteps=<*>Calories:<*>Floor:<*>Distance:<*>,1
14,writeDataToDB size <*>,1
15,upLoadOneMinuteDataToEngine time=<*>,5
16,getBinderPackageName packageName = <*>,8
17,"getAppContext() isAppValid health or wear, packageName = <*>",2
18,insertHiHealthData() checkAppType <*> appID = <*>,2
19,"insertHiHealthData() size = <*>,app = <*>,One Data Type = <*>,packageName = <*>,writeStatType = <*>",2
20,"saveHealthDetailData() deviceID = <*>,clientID=<*>,id=<*>",2
21,"saveStatData() type =<*>,time = <*>,statClient = <*>,who is <*>",4
22,"new date =<*>, type=<*>,old=<*>",17
23,"saveHealthDetailData() saveOneDetailData fail hiHealthData = <*>,type = <*>",2
24,"bulkSaveDetailHiHealthData() size = <*>,totalTime = <*>",2
25,startListenerChange subscribeList = [<*>],2
26,"insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = <*>,errorMessage = <*>",1
27,insertHiHealthData() end totalTime = <*>,2
28,uploadStaticsToDB() onResult type = <*> obj=<*>,1
29,uploadStaticsToDB failed message=<*>,1
30,checkInsertStatus <*> or <*> is enough,4
31,"stepSyncOrNot appSynTimes is <*>, statsyncTimes is <*>",2
32,"startInsertSportSync start auto sync,app is <*>",2
33,"checkFirstSyncByType no such data in db ,type is <*> deviceCode is <*>",2
34,"startInsertSportSync first <*> steps sync,do all sync",2
35,"startSync hiSyncOption = HiSyncOption{syncAction=<*>, syncMethod=<*>, syncScope=<*>, syncDataType=<*>, syncModel=<*>, pushAction=<*>},app = <*> who = <*>",5
36,needAutoSync autoSyncSwitch is <*>,5
37,"initDataPrivacy the dataPrivacy switch is open, start push health data!",5
38,initDataPrivacy the dataPrivacy is <*>,5
39,"initUserPrivacy the userPrivacy switch is open, start push user data!",5
40,initUserPrivacy the userPrivacy is <*>,5
41,ifCanSync not! no cloud version,5
42,sendSyncFailedBroadcast,5
43,"saveRealTimeHealthDatasStat() size = <*>,totalTime = <*>",1
44,InsertCallBack() onSuccess type = <*> data=<*>,1
45,InsertEvent success begin:<*> end:<*>,1
46,setWriteDBLastDataMinute=<*>,1
47,setWriteDBLastDataMinute success,1
48,flush2DB result success,1
49,"timeStamp back,extendReportTimeStamp=<*>",5
50,startTimer start autoSync,3
51,stepSyncOrNot appSynTimes is <*>,3
52,getTodaySportData mStepsRecordManager=com.huawei.health.g.c@8a2a501 <*>,6
53,theDayChanged <*>,1
54,initEnviroument,1
55,getStepCounterStatus<*> <*>,2
56,reStartStepCounter,1
57,registersensorsuccess: <*>,1
58,clear(),1
59,getTodayBasicStandardSteps= <*>,2
60,tryToRecordAsBasicStepData bWrite true,1
61,getDiffTotalSteps= <*>,2
62,setBasicStandardSteps basicStandardStep=<*> restartSteps=<*>,1
63,setDiffTotalSteps=<*>,1
64,tryToReloadTodayBasicSteps<*>,1
65,reload : <*> restar <*>,1
66,next day:steps<*>mLastReport<*>,1
67,setGoalNotifiShownRecord <*> <*>,1
68,closeNotification...,1
69,deleteHealthNotification(),1
70,"checkCurrentDay a new day comes , reset basicSyncCondition, currentDay is <*> oldDay is <*>",1
