EventId,EventTemplate,Occurrences
0,"Registered signal handlers for [TERM, HUP, INT]",1
1,Changing view acls to: <*>,2
2,Changing modify acls to: <*>,2
3,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, <*>); users with modify permissions: Set(yarn, <*>)",2
4,Slf4jLogger started,1
5,Starting remoting,1
6,Remoting started; listening on addresses :[akka.tcp:<*>],1
7,Successfully started service '<*>' on port <*>.,2
8,Created local directory at <*>,1
9,MemoryStore started with capacity <*> GB,1
10,Connecting to driver: spark:<*>,1
11,Successfully registered with driver,1
12,Starting executor ID <*> on host <*>,1
13,Server created on <*>,1
14,Trying to register BlockManager,1
15,Registered BlockManager,1
16,Got assigned task <*>,305
17,Running task <*> in stage <*> (TID <*>),305
18,Started reading broadcast variable <*>,37
19,"Block broadcast_<*>_piece<*> stored as bytes in memory (estimated size <*> KB, free <*> KB)",32
20,Reading broadcast variable <*> took <*> ms,37
21,"Block broadcast_<*> stored as values in memory (estimated size <*> KB, free <*> KB)",32
22,"Partition rdd_<*> not found, computing it",75
23,Input split: hdfs://<*>,45
24,"<*> is deprecated. Instead, use <*>",5
25,"Block <*> stored as bytes in memory (estimated size <*> B, free <*> KB)",80
26,"Block <*> stored as values in memory (estimated size <*> B, free <*> KB)",5
27,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>",375
28,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,300
29,Found block <*> locally,257
30,File Output Committer Algorithm version is <*>,30
31,Saved output of task '<*>' to hdfs://<*>/pjhe/test/<*>/_temporary/<*>/tas<*>,30
32,<*>: Committed,30
