EventId,EventTemplate,Occurrences
0,session closed for user <*>,24
1,session opened for user <*> by (uid=<*>),19
2,(root) CMD (<*>),19
3,data_thread() got not answer from any [<*>] datasource,819
4,"synchronized to <*>, stratum <*>",568
5,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,62
6,[ib_sm_sweep.c:<*>]: No topology change,62
7,[ib_sm_sweep.c:<*>]: No configuration change required,62
8,Local disconnected: Connection closed.,3
9,connection lost: '<*>',3
10,unable to qualify my own domain name (<*>) -- using short name,10
11,"<*>: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*> relay=<*>",10
12,"<*>: to=<*>, ctladdr=<*> (<*>/0), delay=<*>, xdelay=<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=Deferred: Connection refused by [<*>]",10
13,DHCPDISCOVER from <*> via eth1,5
14,DHCPOFFER on <*> to <*> via eth1,5
15,DHCPDISCOVER from <*> via eth1: network A_net: no free leases,15
16,DHCPACK on <*> to <*> via eth1,3
17,DHCPREQUEST for <*> (<*>) from <*> via eth1,3
18,START: tftp pid=<*> from=<*>,1
19,DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.,9
20,RRD_update (<*>d): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),11
21,kernel time sync disabled <*>,1
22,time reset +<*> s,1
23,Received SNMP packet(s) from #<*>#,1
24,kernel time sync enabled <*>,1
25,My unqualified host name (<*>) unknown; sleeping for retry,5
26,CentOS-<*> (Kernel Module GPG key),1
27,(supports S0 S4 S5),1
28,DSDT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000e) @ 0x0000000000000000,1
29,FADT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd6b0,1
30,HPET (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd81c,1
31,HPET id: <*> base: <*>,1
32,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> dfl dfl),1
33,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> high level),1
34,IOAPIC (id[<*>] address[<*>] gsi_base[<*>]),3
35,IRQ<*> used by override.,3
36,Interpreter enabled,1
37,LAPIC (acpi_id[<*>] lapic_id[<*>] enabled),4
38,LAPIC_NMI (acpi_id[<*>] high edge lint[<*>]),4
39,Local APIC address 0x<*>,1
40,MADT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd724,1
41,MCFG (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd854,1
42,PCI Interrupt Link [LNKA] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) <*>,1
43,PCI Interrupt Link [LNKB] (IRQs <*> <*> <*>),1
44,PCI Interrupt Link [LNKC] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>,1
45,"PCI Interrupt Link [LNKD] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>, disabled.",1
46,"PCI Interrupt Link [LNKE] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>, disabled.",1
47,"PCI Interrupt Link [LNKF] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>, disabled.",1
48,"PCI Interrupt Link [LNKG] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>, disabled.",1
49,"PCI Interrupt Link [LNKH] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>, disabled.",1
50,PCI Interrupt Routing Table [\_SB_.PCI0.PALO.DOBA._PRT],1
51,PCI Interrupt Routing Table [\_SB_.PCI0.PALO.DOBB._PRT],1
52,PCI Interrupt Routing Table [\_SB_.PCI0.PALO._PRT],1
53,PCI Interrupt Routing Table [\_SB_.PCI0.PBHI.PXB1._PRT],1
54,PCI Interrupt Routing Table [\_SB_.PCI0.PBHI.PXB2._PRT],1
55,PCI Interrupt Routing Table [\_SB_.PCI0.PBHI._PRT],1
56,PCI Interrupt Routing Table [\_SB_.PCI0.PBLO._PRT],1
57,PCI Interrupt Routing Table [\_SB_.PCI0.PICH._PRT],1
58,PCI Interrupt Routing Table [\_SB_.PCI0.VPR0._PRT],1
59,PCI Interrupt Routing Table [\_SB_.PCI0._PRT],1
60,PCI Root Bridge [<*>] (<*>),1
61,"PCI interrupt <*>] -> GSI <*> (level, low) -> IRQ <*>",11
62,Power Button (<*>) [PWRF],1
63,Processor [CPU<*>] (supports C<*>),4
64,RSDP (v000 DELL ) @ 0x00000000000fd650,1
65,RSDT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd664,1
66,SPCR (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd7cc,1
67,Subsystem revision <*>,1
68,Using IOAPIC for interrupt routing,1
69,Intel(R) Xeon(TM) CPU <*>GHz stepping <*>,1
70,L2 cache: <*>K,5
71,Physical Processor ID: <*>,5
72,"Trace cache: <*> uops, L1 D cache: <*>",5
73,colour VGA+ <*>,1
74,mounted filesystem with ordered data mode.,3
75,"sys_ia32.c,v <*> <*> ak Exp $",1
76,"apic_id <*>, version <*>, address <*>, GSI <*>",3
77,"routing cache hash table of <*> buckets, <*>Kbytes",1
78,PCI Hot Plug PCI Core version: <*>,1
79,"root=LABEL=/ initrd=/<*> console=tty0 console=ttyS0,<*> fastboot BOOT_IMAGE=/<*>",1
80,Registered protocol family <*>,5
81,Using software bounce buffering for IO (SWIOTLB),1
82,Probing PCI hardware (bus <*>),1
83,Transparent bridge - <*>,1
84,Using ACPI for IRQ routing,1
85,Using MMCONFIG at <*>,1
86,Using configuration type <*>,1
87,Compressed image found at block <*>,1
88,Disabled at runtime.,1
89,Initializing.,1
90,Registering netfilter hooks,1
91,Starting in permissive mode,1
92,Unregistering netfilter hooks,1
93,Hash tables configured (established <*> bind <*>),1
94,Direct-Access ANSI SCSI revision: <*>,1
95,Processor ANSI SCSI revision: <*>,1
96,Disk quotas <*>,1
97,Mounted root (<*> filesystem).,1
98,MegaRAID Model: LD <*> RAID1 139G Rev: <*>,1
99,PE/PV Model: <*> SCSI BP Rev: <*>,1
100,initialized,1
101,initializing netlink socket (disabled),1
102,passed.,1
103,<*>-ioctl (<*>) initialised: #<*>,1
104,allocating divert_blk for <*>,2
105,not allocating divert_blk for non-ethernet device <*>,2
106,v2.0:USB HID core driver,1
107,<*>: e1000_probe: Intel(R) PRO/1000 Network Connection,2
108,eth0: e1000_watchdog: NIC Link is Up <*> Mbps Full Duplex,1
109,no floppy controllers found,1
110,RNG not detected,1
111,Wait for ready failed before probe !,6
112,Assuming <*> system bus speed for PIO modes; override with idebus=xx,1
113,Unknown cmd fd(<*>) cmd(<*>} arg(<*>) on <*>,1
114,(C) <*> Netfilter core team,4
115,Installing public key data,1
116,... autorun DONE.,2
117,Autodetecting RAID arrays.,2
118,autorun ...,2
119,"md driver <*> MAX_MD_DEVS=<*>, MD_SB_DISKS=<*>",1
120,#<*>#-rh1 (Release Date: <*>),1
121,#<*># (Release Date: <*> Sep <*> <*> <*>EDT <*>),1
122,fw version:[<*>] bios version:[<*>],1
123,probe new device <*>: bus <*>:slot <*>:func <*>,1
124,PS/<*> mouse device common for all mice,1
125,v2.<*> (<*>),1
126,rpc.statd startup succeeded,1
127,portmap startup succeeded,1
128,Starting ts_fixup: succeeded,1
129,Version <*> Starting,1
130,LSI Logic MegaRAID driver,1
131,scanning scsi channel <*> [Phy <*>] for non-raid devices,1
132,scanning scsi channel <*> [virtual] for logical drives,1
133,asking for cache data failed,1
134,assuming drive cache: write through,1
135,sda1 sda2 sda3 sda4,1
136,Registering secondary module capability,1
137,i8042 AUX port at <*> irq <*>,1
138,i8042 KBD port at <*> irq <*>,1
139,syslog-ng startup succeeded,1
140,syslog-ng version <*> starting,1
141,Detected <*> MHz processor.,1
