EventId,EventTemplate,Occurrences
0,Loaded Servicing Stack v<*> with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_<*>_none_<*>\cbscore.dll,2
1,<*> WcpInitialize (wcp.dll version <*>) called (stack @<*> @<*> @<*> @<*> @<*> @<*>),6
2,Ending TrustedInstaller initialization.,2
3,Starting the TrustedInstaller main loop.,2
4,TrustedInstaller service starts successfully.,2
5,SQM: Initializing online with Windows opt-in: <*>,2
6,SQM: Cleaning up report files older than <*> days.,2
7,SQM: Requesting upload of all unsent reports.,2
8,"SQM: Failed to start upload with file pattern: <*>, flags: 0x<*> [HRESULT = 0x<*> - <*>",2
9,SQM: Failed to start standard sample upload. [HRESULT = <*> - E_FAIL],2
10,"SQM: Queued <*> file(s) for upload with pattern: <*>, flags: <*>",2
11,SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*>,2
12,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",2
13,NonStart: Checking to ensure startup processing was not required.,2
14,"<*> IAdvancedInstallerAwareStore_ResolvePendingTransactions (call <*>) (flags = <*>, progress = NULL, phase = <*>, pdwDisposition = @<*>",2
15,"<*> Creating NT transaction (seq <*>), objectname [<*>)""",3
16,"<*> Created NT transaction (seq <*>) result <*>, handle @<*>",3
17,<*> CSI perf trace:,3
18,"NonStart: Success, startup processing not required as expected.",2
19,Startup processing thread terminated normally,2
20,<*> CSI Store <*> (0x<*> initialized,3
21,Session: <*> initialized by client WindowsUpdateAgent.,608
22,Warning: Unrecognized packageExtended attribute.,280
23,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],224
24,Failed to get next element [HRESULT = <*>,224
25,Failed to internally open package. [HRESULT = <*>,18
26,"Read out cached package applicability for package: <*>Package<*>, ApplicableState: <*>, CurrentState:<*>",558
27,Failed to create backup log cab. [HRESULT = <*> - <*>],2
28,Reboot mark refs<*>: <*>,2
29,Scavenge: Starts,1
30,"<*> CSI Transaction @<*> initialized for deployment engine {<*>-56d8-11d5-882d-0080c847b195} with flags <*> and client id [<*>""",1
31,Scavenge: Begin CSI Store,1
32,<*> Performing <*> operations; <*> are not lock/unlock and follow:,1
33,"<*> Store coherency cookie matches last scavenge cookie, skipping scavenge.",1
34,<*> ICSITransaction::Commit calling IStorePendingTransaction::Apply - coldpatching=<*> applyflags=<*>,1
35,"Scavenge: Completed, disposition: 0X<*>",1
36,<*> CSI Transaction @<*> destroyed,1
37,Idle processing thread terminated normally,1
38,Ending the TrustedInstaller main loop.,1
39,Starting TrustedInstaller finalization.,1
40,Ending TrustedInstaller finalization.,1
41,Starting TrustedInstaller initialization.,1
42,"Loading offline registry hive: <*>, into registry key '<*>' from path '<*>'.",8
43,Offline image is: <*>,1
44,"Disabling manifest caching, because the image is not writeable.",1
45,<*> PopulateComponentFamiliesKey - Begin,1
46,<*> PopulateComponentFamiliesKey - End,1
47,Session: <*> initialized by client SPP.,1
48,Unloading offline registry hive: {<*>}GLOBALROOT<*>,8
